datetime,Open,High,Low,Close,ema9,ema9_diff,ema9_diff%
1980-02-08 16:00:00,115.12,118.66,112.15,117.95,111.84638694496329,6.103613055036718,5.17
1983-04-29 16:00:00,160.43,164.43,158.07,164.43,155.96376506279844,8.466234937201563,5.15
1975-05-02 16:00:00,86.62,89.98,85.0,89.22,84.64012293441411,4.57987706558589,5.13
1991-02-22 16:00:00,369.06,370.95,364.22,365.64,346.88019178601985,18.759808213980136,5.13
1975-02-28 16:00:00,82.62,82.71,78.91,81.59,77.4401382685758,4.14986173142421,5.09
1991-03-01 16:00:00,365.65,370.46,362.18,370.46,351.59615342881585,18.863846571184126,5.09
1978-08-04 16:00:00,100.0,105.41,99.37,103.92,98.6463819516438,5.273618048356198,5.07
1985-02-08 16:00:00,178.63,182.38,177.75,182.19,172.96977288107837,9.220227118921628,5.06
2009-08-21 16:00:00,998.18,1027.59,978.51,1026.13,974.2711929441663,51.858807055833836,5.05
1987-03-20 16:00:00,289.88,298.16,286.63,298.16,283.1498961888645,15.010103811135536,5.03
2009-04-03 16:00:00,809.07,845.61,779.81,842.5,800.2026569897421,42.29734301025792,5.02
1980-06-13 16:00:00,113.2,117.01,112.68,115.81,110.0144161999178,5.795583800082198,5.0
2009-09-18 16:00:00,1039.14,1074.12,1035.0,1068.3,1015.0199126299307,53.28008737006928,4.99
1986-03-28 16:00:00,233.34,240.11,232.91,238.97,227.04987817019736,11.920121829802639,4.99
1982-11-12 16:00:00,142.12,144.36,139.53,139.53,132.5657062640987,6.964293735901293,4.99
1980-11-28 16:00:00,139.11,141.96,136.36,140.52,133.51838236537208,7.001617634627934,4.98
1984-08-03 16:00:00,151.19,162.56,149.65,162.35,154.25776615297622,8.092233847023778,4.98
1991-03-08 16:00:00,370.47,379.65,369.07,374.94,356.2649227430527,18.675077256947304,4.98
1996-02-09 16:00:00,635.84,661.08,633.71,656.38,623.8112932870415,32.56870671295849,4.96
1986-02-21 16:00:00,219.76,224.61,219.22,224.61,213.49439382994782,11.115606170052189,4.95
1987-08-21 16:00:00,333.98,336.37,326.42,335.89,319.3678243236577,16.522175676342272,4.92
1985-01-25 16:00:00,171.32,178.16,171.3,177.35,168.67339512668497,8.676604873315028,4.89
1983-05-06 16:00:00,164.41,166.99,160.8,166.1,157.99101205023877,8.108987949761229,4.88
2020-08-07 16:00:00,3288.26,3352.54,3284.53,3351.28,3188.307792301094,162.972207698906,4.86
1997-05-23 16:00:00,829.75,848.49,826.41,847.03,806.0034254518896,41.026574548110375,4.84
1987-03-06 16:00:00,284.17,291.23,282.3,290.65,276.7767127951007,13.87328720489927,4.77
1978-04-28 16:00:00,94.34,97.91,94.08,96.83,92.2292387562089,4.600761243791098,4.75
2010-11-05 16:00:00,1185.71,1227.08,1177.65,1225.85,1167.619930008372,58.23006999162794,4.75
2020-05-29 16:00:00,3004.08,3068.67,2969.75,3044.31,2899.555858106962,144.75414189303774,4.75
1986-02-28 16:00:00,224.58,227.91,222.63,226.91,216.17751506395828,10.732484936041715,4.73
1976-01-09 16:00:00,90.9,95.71,90.85,94.95,90.49775738645835,4.452242613541657,4.69
2009-06-12 16:00:00,938.12,956.23,926.44,946.21,901.7914545301176,44.418545469882474,4.69
2003-05-02 16:00:00,898.81,930.56,898.81,930.08,886.7628396268028,43.317160373197225,4.66
1982-09-24 16:00:00,122.54,126.43,121.48,123.32,117.57119335221616,5.748806647783837,4.66
1999-04-09 16:00:00,1293.72,1351.18,1293.72,1348.35,1286.3496154589257,62.000384541074254,4.6
1987-02-13 16:00:00,280.04,280.9,273.48,279.69,266.867485927931,12.822514072068998,4.58
2018-01-26 16:00:00,2809.16,2872.87,2808.12,2872.87,2741.1536219965137,131.71637800348617,4.58
1985-12-20 16:00:00,209.94,213.8,209.24,210.94,201.30930762907684,9.630692370923157,4.57
1997-05-09 16:00:00,812.97,832.29,811.8,824.79,787.2459772685773,37.544022731422615,4.55
1984-08-24 16:00:00,164.14,168.8,163.76,167.51,159.91813627032383,7.591863729676163,4.53
1998-02-27 16:00:00,1034.21,1051.66,1028.89,1049.34,1001.8683976203463,47.47160237965363,4.52
1991-12-27 16:00:00,387.05,406.58,386.95,406.45,388.1003714463395,18.349628553660466,4.51
1997-07-25 16:00:00,915.3,945.65,907.12,938.79,896.4792120277302,42.310787972269736,4.51
1999-11-19 16:00:00,1396.06,1425.27,1392.17,1422.0,1358.1921131537852,63.80788684621484,4.49
1985-11-22 16:00:00,198.11,202.0,197.5,201.52,192.49756745380077,9.02243254619924,4.48
1985-02-01 16:00:00,177.35,180.27,176.55,178.63,170.66471610134798,7.965283898652018,4.46
2021-04-16 16:00:00,4124.71,4191.31,4114.82,4185.47,3999.5367785338476,185.93322146615265,4.44
2009-05-29 16:00:00,887.0,920.02,881.46,919.14,878.3360227033083,40.80397729669164,4.44
1980-08-15 16:00:00,123.61,126.61,122.49,125.72,120.14141403151939,5.57858596848061,4.44
1999-01-29 16:00:00,1225.19,1280.4,1219.46,1279.64,1223.3010422859857,56.33895771401444,4.4
1986-04-18 16:00:00,235.97,243.47,235.42,242.38,231.7530576231411,10.626942376858892,4.38
2020-08-14 16:00:00,3356.04,3387.89,3326.44,3372.85,3225.2162338408757,147.6337661591242,4.38
2020-12-04 16:00:00,3634.18,3699.2,3594.39,3699.12,3537.6062996408477,161.51370035915215,4.37
1976-02-20 16:00:00,99.67,103.07,98.5,102.1,97.63386331231575,4.466136687684241,4.37
1996-11-22 16:00:00,737.62,748.69,734.39,748.69,716.0716802560855,32.618319743914526,4.36
2003-05-30 16:00:00,933.22,965.38,927.33,963.59,921.7028431111387,41.88715688886134,4.35
2003-06-13 16:00:00,987.76,1002.74,972.59,988.61,945.6534195911288,42.95658040887122,4.35
1989-05-19 16:00:00,313.84,321.37,313.84,321.23,307.2578246317437,13.97217536825633,4.35
1999-01-01 16:00:00,1226.26,1244.92,1220.78,1229.23,1175.8694977685188,53.36050223148118,4.34
1996-11-29 16:00:00,748.73,762.12,747.99,757.02,724.2613442048685,32.75865579513152,4.33
1998-02-06 16:00:00,980.28,1013.51,980.28,1012.45,968.6651516022387,43.78484839776138,4.32
1997-05-02 16:00:00,765.37,812.97,763.3,812.97,777.8599715857217,35.110028414278304,4.32
1997-08-01 16:00:00,938.79,957.73,932.56,947.14,906.6113696221843,40.528630377815716,4.28
1982-10-29 16:00:00,138.81,138.81,131.5,133.72,127.99079103765422,5.72920896234578,4.28
1998-02-20 16:00:00,1020.09,1034.21,1020.09,1034.21,990.0004970254328,44.20950297456727,4.27
2021-04-09 16:00:00,4034.44,4129.48,4034.44,4128.8,3953.053473167309,175.74652683269096,4.26
2009-08-14 16:00:00,1008.89,1013.14,992.4,1004.09,961.3064911802078,42.783508819792246,4.26
