"Date","Time","Open","High","Low","Close","Vol","OI","Vol","VolAvg"
08/03/1973,16:00,109.59,110.12,105.51,106.49,60265,0,60265.00,0.00
08/10/1973,16:00,106.49,107.57,104.21,104.77,62030,0,62030.00,0.00
08/17/1973,16:00,104.77,104.83,101.38,102.31,59211,0,59211.00,0.00
08/24/1973,16:00,102.31,102.65,99.74,101.62,53814,0,53814.00,0.00
08/31/1973,16:00,101.62,104.92,101.09,104.25,59889,0,59889.00,0.00
09/07/1973,16:00,104.25,105.95,103.60,104.76,59404,0,59404.00,0.00
09/14/1973,16:00,104.76,105.12,102.13,104.44,61782,0,61782.00,0.00
09/21/1973,16:00,104.44,108.02,102.41,107.20,105784,0,105784.00,0.00
09/28/1973,16:00,107.20,110.45,106.21,108.43,102111,0,102111.00,0.00
10/05/1973,16:00,108.43,110.46,107.03,109.85,97197,0,97197.00,0.00
10/12/1973,16:00,109.85,112.82,108.02,111.44,100888,0,100888.00,0.00
10/19/1973,16:00,111.32,111.56,108.50,110.22,90639,0,90639.00,0.00
10/26/1973,16:00,110.22,112.31,107.40,111.38,80737,0,80737.00,0.00
11/02/1973,16:00,111.38,112.56,106.33,107.07,86715,0,86715.00,0.00
11/09/1973,16:00,106.97,108.45,104.52,105.30,87112,0,87112.00,0.00
11/16/1973,16:00,105.30,105.75,100.69,103.88,109327,0,109327.00,0.00
11/23/1973,16:00,103.65,103.65,97.64,99.44,76390,0,76390.00,0.00
11/30/1973,16:00,98.64,98.72,94.88,95.96,93819,0,93819.00,0.00
12/07/1973,16:00,95.83,97.58,91.55,96.51,102624,0,102624.00,0.00
12/14/1973,16:00,96.51,99.09,91.05,93.29,95015,0,95015.00,0.00
12/21/1973,16:00,93.29,96.83,91.87,93.54,89246,0,89246.00,0.00
12/28/1973,16:00,93.54,98.76,91.68,97.54,74191,0,74191.00,0.00
01/04/1974,16:00,97.54,100.94,95.95,98.90,82088,0,82088.00,0.00
01/11/1974,16:00,98.90,99.31,91.62,93.66,86465,0,86465.00,0.00
01/18/1974,16:00,93.66,98.35,92.35,95.56,80293,0,80293.00,0.00
01/25/1974,16:00,95.56,98.11,93.23,96.63,80694,0,80694.00,0.00
02/01/1974,16:00,96.63,98.06,94.66,95.32,69548,0,69548.00,0.00
02/08/1974,16:00,94.89,94.89,91.87,92.33,63555,0,63555.00,0.00
02/15/1974,16:00,92.33,92.98,89.53,92.27,61718,0,61718.00,0.00
02/22/1974,16:00,92.27,96.19,91.34,95.39,57910,0,57910.00,0.00
03/01/1974,16:00,95.39,97.43,94.20,95.53,74042,0,74042.00,0.00
03/08/1974,16:00,95.53,98.57,94.19,97.78,84121,0,84121.00,0.00
03/15/1974,16:00,97.78,101.05,96.38,99.28,86813,0,86813.00,0.00
03/22/1974,16:00,99.28,99.71,96.35,97.27,64033,0,64033.00,0.00
03/29/1974,16:00,97.27,98.66,93.44,93.98,61162,0,61162.00,0.00
04/05/1974,16:00,93.98,95.14,92.55,93.01,58298,0,58298.00,0.00
04/12/1974,16:00,93.00,93.52,91.50,92.12,43191,0,43191.00,0.00
04/19/1974,16:00,92.12,95.42,91.49,93.75,61872,0,61872.00,0.00
04/26/1974,16:00,93.75,94.12,88.62,90.18,69762,0,69762.00,0.00
05/03/1974,16:00,90.18,93.59,89.02,91.29,60990,0,60990.00,0.00
05/10/1974,16:00,91.29,93.57,90.13,91.47,61988,0,61988.00,0.00
05/17/1974,16:00,91.47,91.72,87.67,88.21,59370,0,59370.00,0.00
05/24/1974,16:00,88.21,89.27,86.12,88.58,66750,0,66750.00,0.00
05/31/1974,16:00,88.58,89.37,85.87,87.28,47324,0,47324.00,0.00
06/07/1974,16:00,87.28,93.76,86.78,92.55,74583,0,74583.00,0.00
06/14/1974,16:00,92.55,93.64,90.73,91.30,58649,0,58649.00,0.00
06/21/1974,16:00,91.30,91.34,86.77,87.46,54165,0,54165.00,0.00
06/28/1974,16:00,87.46,89.48,85.13,86.00,57960,0,57960.00,0.00
07/05/1974,16:00,86.00,86.89,83.17,83.66,44562,0,44562.00,0.00
07/12/1974,16:00,83.13,83.65,79.08,83.15,76990,0,76990.00,0.00
07/19/1974,16:00,83.15,85.39,81.70,83.54,59856,0,59856.00,0.00
07/26/1974,16:00,83.54,85.67,82.00,82.40,58802,0,58802.00,0.00
08/02/1974,16:00,82.02,82.02,77.84,78.59,55459,0,55459.00,0.00
08/09/1974,16:00,78.59,83.53,78.03,80.86,66608,0,66608.00,0.00
08/16/1974,16:00,80.86,81.26,75.19,75.67,51314,0,51314.00,0.00
08/23/1974,16:00,75.65,76.11,70.75,71.55,66428,0,66428.00,0.00
08/30/1974,16:00,71.55,73.17,69.37,72.15,74180,0,74180.00,0.00
09/06/1974,16:00,72.15,73.01,67.64,71.42,59024,0,59024.00,0.00
09/13/1974,16:00,71.35,71.35,64.74,65.20,67955,0,67955.00,0.00
09/20/1974,16:00,65.20,71.12,64.15,70.14,77101,0,77101.00,0.00
09/27/1974,16:00,70.14,71.02,64.58,64.94,60884,0,60884.00,0.00
10/04/1974,16:00,64.85,64.85,60.96,62.34,73190,0,73190.00,0.00
10/11/1974,16:00,62.78,71.99,62.78,71.14,95729,0,95729.00,0.00
10/18/1974,16:00,71.17,74.43,69.41,72.28,82886,0,82886.00,0.00
10/25/1974,16:00,72.28,75.09,68.80,70.12,75178,0,75178.00,0.00
11/01/1974,16:00,70.12,75.90,68.89,73.88,78618,0,78618.00,0.00
11/08/1974,16:00,73.80,77.41,71.93,74.91,85676,0,85676.00,0.00
11/15/1974,16:00,74.91,75.70,71.41,71.91,70334,0,70334.00,0.00
11/22/1974,16:00,71.10,71.10,66.85,68.90,70207,0,70207.00,0.00
11/29/1974,16:00,68.90,71.31,67.79,69.97,47108,0,47108.00,0.00
